company_name,contact_name,contact_title,email,phone,website,linkedin_url
Blackstar 1862 Bathurst Ltd,,,,,https://opencorpdata.com/lei/25490052FDHO3KIJBX56,https://linkedin.com/search/results/companies/?keywords=Blackstar+1862+Bathurst+Ltd
Manna Industrial 50 Precidio Corp,Toronto Office,,,,https://www.mannafund.ca/,
512160 Ontario Ltd,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,https://linkedin.com/search/results/companies/?keywords=512160+Ontario+Ltd
IG Investment Management Ltd,,,,888-746-6344,https://www.ig.ca/en,https://linkedin.com/search/results/companies/?keywords=IG+Investment+Management+Ltd
Wellings Communities Holding Inc,Mark Williams,,,866-449-9693,https://www.wellingscommunity.com/,https://linkedin.com/search/results/companies/?keywords=Wellings+Communities+Holding+Inc
Castle Peak Retirement Residence Inc,,,,,https://castlepeakmuskoka.com/,https://linkedin.com/search/results/companies/?keywords=Castle+Peak+Retirement+Residence+Inc
CAPREIT Apartments Inc,Lisa Shipley,Executive Assistant,test.capreit@example.com,416-861-9404,https://www.capreit.ca/,
2403290 Ontario Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.2403290_ontario_limited.c8bd0a844e96dd3c0020bb010da6d042.html,https://linkedin.com/search/results/companies/?keywords=2403290+Ontario+Ltd
SLB Rapids SARL,,,,,https://www.slb.com/,https://linkedin.com/search/results/companies/?keywords=SLB+Rapids+SARL
Dernetro Holdings Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.dernetro_holdings_limited.86c6778268399e51b2b95ff106322faa.html,https://linkedin.com/search/results/companies/?keywords=Dernetro+Holdings+Ltd
1375 - 1393 North Service Inc,,,,,https://www.collierscanada.com/en-ca/properties/sold-new-generation-flex-office-investment-opportunity/can-1375-1383-1393-north-service-road-east-oakville-on-l6h-1a7/can2016430,
SLB Rapids SARL,,,,,,
Amica (Quinte Gardens) Corp,,,info@amica.ca,416-487-2020,https://www.amica.ca/,
Deergate Holdings Inc,,,,,https://ero.ontario.ca/fr/node/7992,https://linkedin.com/search/results/companies/?keywords=Deergate+Holdings+Inc
Econ Development Inc,,,,,https://ised-isde.canada.ca/site/ised/en,https://linkedin.com/search/results/companies/?keywords=Econ+Development+Inc
Max & Greta Holdings Inc,,,,,https://www.dnb.com/business-directory/company-profiles.greta_holding_company_inc.aaf11520243841bba736a068c39df1ba.html,
SBLP Orangeville Mall Inc,,,,416-922-5553,https://opencorpdata.com/lei/549300T60ZUX6V0MR965,https://linkedin.com/search/results/companies/?keywords=SBLP+Orangeville+Mall+Inc
Simcoe Wellington Residences Inc,,,,416-598-8200,https://obd.hcraontario.ca/profile/B35597,https://linkedin.com/search/results/companies/?keywords=Simcoe+Wellington+Residences+Inc
BRL Realty Ltd,Betty Sindayen,,,,https://metarealtyinc.ca/developers/brl-realty/,https://linkedin.com/search/results/companies/?keywords=BRL+Realty+Ltd
1265534 Ontario Inc,,,,,https://www.dnb.com/business-directory/company-profiles.1265534_ontario_inc.6ba7a4568d7b0c5ae414f5f90f05859b.html,
1000969570 Ontario Inc,,,,,,
Centerfield Properties Inc,,,,905-669-9714,https://obd.hcraontario.ca/profile/B61411,https://linkedin.com/search/results/companies/?keywords=Centerfield+Properties+Inc
Towerhill Developments Inc,,,,,https://www.towerhill.ca/,https://linkedin.com/search/results/companies/?keywords=Towerhill+Developments+Inc
Moores The Suite People Corp/,,,,,https://www.mooresclothing.ca/,
Guelph Retirement Group Ltd,,,,,https://www.uoguelph.ca/hr/retirees,
